date,value
8/1/2011,12132.49
8/2/2011,11866.62
8/3/2011,11896.44
8/4/2011,11383.68
8/5/2011,11444.61
8/8/2011,10809.85
8/9/2011,11239.77
8/10/2011,10719.94
8/11/2011,11143.31
8/12/2011,11269.02
8/15/2011,11482.9
8/16/2011,11405.93
8/17/2011,11410.21
8/18/2011,10990.58
8/19/2011,10817.65
8/22/2011,10854.65
8/23/2011,11176.76
8/24/2011,11320.71
8/25/2011,11149.82
8/26/2011,11284.54
8/29/2011,11539.25
8/30/2011,11559.95
8/31/2011,11613.53
9/1/2011,11493.57
9/2/2011,11240.26
9/5/2011,.
9/6/2011,11139.3
9/7/2011,11414.86
9/8/2011,11295.81
9/9/2011,10992.13
9/12/2011,11061.12
9/13/2011,11105.85
9/14/2011,11246.73
9/15/2011,11433.18
9/16/2011,11509.09
9/19/2011,11401.01
9/20/2011,11408.66
9/21/2011,11124.84
9/22/2011,10733.83
9/23/2011,10771.48
9/26/2011,11043.86
9/27/2011,11190.69
9/28/2011,11010.9
9/29/2011,11153.98
9/30/2011,10913.38
10/3/2011,10655.3
10/4/2011,10808.71
10/5/2011,10939.95
10/6/2011,11123.33
10/7/2011,11103.12
10/10/2011,11433.18
10/11/2011,11416.3
10/12/2011,11518.85
10/13/2011,11478.13
10/14/2011,11644.49
10/17/2011,11397
10/18/2011,11577.05
10/19/2011,11504.62
10/20/2011,11541.78
10/21/2011,11808.79
10/24/2011,11913.62
10/25/2011,11706.62
10/26/2011,11869.04
10/27/2011,12208.55
10/28/2011,12231.11
10/31/2011,11955.01
11/1/2011,11657.96
11/2/2011,11836.04
11/3/2011,12044.47
11/4/2011,11983.24
11/7/2011,12068.39
11/8/2011,12170.18
11/9/2011,11780.94
11/10/2011,11893.79
11/11/2011,12153.68
11/14/2011,12078.98
11/15/2011,12096.16
11/16/2011,11905.59
11/17/2011,11770.73
11/18/2011,11796.16
11/21/2011,11547.31
11/22/2011,11493.72
11/23/2011,11257.55
11/24/2011,.
11/25/2011,11231.78
11/28/2011,11523.01
11/29/2011,11555.63
11/30/2011,12045.68
12/1/2011,12020.03
12/2/2011,12019.42
12/5/2011,12097.83
12/6/2011,12150.13
12/7/2011,12196.37
12/8/2011,11997.7
12/9/2011,12184.26
12/12/2011,12021.39
12/13/2011,11954.94
12/14/2011,11823.48
12/15/2011,11868.81
12/16/2011,11866.39
12/19/2011,11766.26
12/20/2011,12103.58
12/21/2011,12107.74
12/22/2011,12169.65
12/23/2011,12294
12/26/2011,.
12/27/2011,12291.35
12/28/2011,12151.41
12/29/2011,12287.04
12/30/2011,12217.56
1/2/2012,.
1/3/2012,12397.38
1/4/2012,12418.42
1/5/2012,12415.7
1/6/2012,12359.92
1/9/2012,12392.69
1/10/2012,12462.47
1/11/2012,12449.45
1/12/2012,12471.02
1/13/2012,12422.06
1/16/2012,.
1/17/2012,12482.07
1/18/2012,12578.95
1/19/2012,12623.98
1/20/2012,12720.48
1/23/2012,12708.82
1/24/2012,12675.75
1/25/2012,12756.96
1/26/2012,12734.63
1/27/2012,12660.46
1/30/2012,12653.72
1/31/2012,12632.91
2/1/2012,12716.46
2/2/2012,12705.41
2/3/2012,12862.23
2/6/2012,12845.13
2/7/2012,12878.2
2/8/2012,12883.95
2/9/2012,12890.46
2/10/2012,12801.23
2/13/2012,12874.04
2/14/2012,12878.28
2/15/2012,12780.95
2/16/2012,12904.08
2/17/2012,12949.87
2/20/2012,.
2/21/2012,12965.69
2/22/2012,12938.67
2/23/2012,12984.69
2/24/2012,12982.95
2/27/2012,12981.51
2/28/2012,13005.12
2/29/2012,12952.07
3/1/2012,12980.3
3/2/2012,12977.57
3/5/2012,12962.81
3/6/2012,12759.15
3/7/2012,12837.33
3/8/2012,12907.94
3/9/2012,12922.02
3/12/2012,12959.71
3/13/2012,13177.68
3/14/2012,13194.1
3/15/2012,13252.76
3/16/2012,13232.62
3/19/2012,13239.13
3/20/2012,13170.19
3/21/2012,13124.62
3/22/2012,13046.14
3/23/2012,13080.73
3/26/2012,13241.63
