date,value
1/1/1996,4.77177
1/1/1997,4.78755
1/1/1998,4.86833
1/1/1999,4.82673
1/1/2000,4.83941
1/1/2001,5.05348
1/1/2002,5.40846
1/1/2003,5.67071
1/1/2004,5.68526
1/1/2005,5.63309
1/1/2006,5.55881
1/1/2007,5.28893
1/1/2008,5.38902
1/1/2009,8.72904
1/1/2010,12.4424
1/1/2011,14.7339
1/1/2012,15.9294
1/1/2013,18.9798
1/1/2014,23.0044
1/1/2015,23.3892
1/1/2016,22.7163
