ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,active_listing_count,active_listing_count_lower,active_listing_count_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,median_days_on_market,median_days_on_market_lower,median_days_on_market_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,thirty_year_interest_rate_four,thirty_year_interest_rate_four_lower,thirty_year_interest_rate_four_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2016-07-01,235008.16999999998,133567.91658697563,327558.06262255757,235008.16999999998,235008.16999999998,-0.029742147050592225,-0.029742147050592225,-0.029742147050592225,-0.07430900266103949,-0.07430900266103949,-0.07430900266103949,-0.011289730778392229,-0.011289730778392229,-0.011289730778392229,-0.01981130442369331,-0.01981130442369331,-0.01981130442369331,-0.03327712483205504,-0.03327712483205504,-0.03327712483205504,0.05449769823734618,0.05449769823734618,0.05449769823734618,0.0,0.0,0.0,230352.35160207492
2016-08-01,238031.90562450068,110001.85818012682,294129.85359190515,238031.90562450068,238031.90562450068,-0.03283050835374704,-0.03283050835374704,-0.03283050835374704,-0.04771755143488758,-0.04771755143488758,-0.04771755143488758,0.024589427261036058,0.024589427261036058,0.024589427261036058,-0.15329047119138722,-0.15329047119138722,-0.15329047119138722,-0.0394764703421766,-0.0394764703421766,-0.0394764703421766,-0.10557291975649963,-0.10557291975649963,-0.10557291975649963,0.0,0.0,0.0,201543.88265273717
2016-09-01,241055.64124900132,111490.55674653572,288573.5984787381,241055.64124900132,241055.64124900132,-0.034027807597098225,-0.034027807597098225,-0.034027807597098225,-0.11824695893401099,-0.11824695893401099,-0.11824695893401099,-0.03998349995080363,-0.03998349995080363,-0.03998349995080363,-0.16091714551404723,-0.16091714551404723,-0.16091714551404723,-0.04423565138610913,-0.04423565138610913,-0.04423565138610913,-0.04267018658003624,-0.04267018658003624,-0.04267018658003624,0.0,0.0,0.0,202265.6555491538
2016-10-01,243981.83700884756,114883.86861866219,294720.0646618931,243981.83700884756,243981.83700884756,-0.028326295205321664,-0.028326295205321664,-0.028326295205321664,-0.22973843109091602,-0.22973843109091602,-0.22973843109091602,-0.1507811920433617,-0.1507811920433617,-0.1507811920433617,-0.14953523485441644,-0.14953523485441644,-0.14953523485441644,-0.05063094384223265,-0.05063094384223265,-0.05063094384223265,0.08020319623649957,0.08020319623649957,0.08020319623649957,0.0,0.0,0.0,207497.9557115176
2016-11-01,247005.57262735532,131095.956256442,326346.27273343806,247005.57262735532,247005.57262735532,-0.014690639422143405,-0.014690639422143405,-0.014690639422143405,-0.2694517951600854,-0.2694517951600854,-0.2694517951600854,-0.2386496050992232,-0.2386496050992232,-0.2386496050992232,-0.0894453060789234,-0.0894453060789234,-0.0894453060789234,-0.016111550638718795,-0.016111550638718795,-0.016111550638718795,0.180006489081162,0.180006489081162,0.180006489081162,0.0,0.0,0.0,224912.08358050176
2016-12-01,249931.7683872015,134523.45594737193,327167.4431154749,249931.7683872015,249931.7683872015,-0.004563320879399609,-0.004563320879399609,-0.004563320879399609,-0.3407593102012453,-0.3407593102012453,-0.3407593102012453,-0.32911733679211697,-0.32911733679211697,-0.32911733679211697,-0.09060090719948344,-0.09060090719948344,-0.09060090719948344,-0.007078652529728721,-0.007078652529728721,-0.007078652529728721,0.25015840300176184,0.25015840300176184,0.25015840300176184,0.0,0.0,0.0,227287.72343334986
2017-01-01,252955.5039919642,171174.24097025374,367826.953701241,252955.5039919642,252955.5039919642,0.0006774264350510667,0.0006774264350510667,0.0006774264350510667,-0.43667179853431176,-0.43667179853431176,-0.43667179853431176,-0.4335129414862741,-0.4335129414862741,-0.4335129414862741,0.08021112413335078,0.08021112413335078,0.08021112413335078,-0.0038362834830887394,-0.0038362834830887394,-0.0038362834830887394,0.5168829226676626,0.5168829226676626,0.5168829226676626,0.0,0.0,0.0,273245.34932287794
2017-02-01,255979.23959672687,226334.23043565787,408797.6458635766,255979.23959672687,255979.23959672687,0.003263527086911577,0.003263527086911577,0.003263527086911577,-0.3797822108550749,-0.3797822108550749,-0.3797822108550749,-0.3752269162735366,-0.3752269162735366,-0.3752269162735366,0.25210630486219177,0.25210630486219177,0.25210630486219177,-0.00781882166844987,-0.00781882166844987,-0.00781882166844987,0.6318885157172667,0.6318885157172667,0.6318885157172667,0.0,0.0,0.0,320513.21981289133
2017-03-01,258710.35564733046,125185.49442708355,305572.14249384095,258710.35564733046,258710.35564733046,0.0010741990433178208,0.0010741990433178208,0.0010741990433178208,-0.21458635507923085,-0.21458635507923085,-0.21458635507923085,-0.19198836638101238,-0.19198836638101238,-0.19198836638101238,-0.16921850213828926,-0.16921850213828926,-0.16921850213828926,-0.023672187741536288,-0.023672187741536288,-0.023672187741536288,0.04536785294094159,0.04536785294094159,0.04536785294094159,0.0,0.0,0.0,214931.7767770251
2017-04-01,261734.0912747844,156677.0229269936,349092.03472529055,261734.0912747844,261734.0912747844,-0.0026654692266258728,-0.0026654692266258728,-0.0026654692266258728,0.1073447708857579,0.1073447708857579,0.1073447708857579,0.130466862559739,0.130466862559739,0.130466862559739,-0.024629628230475747,-0.024629628230475747,-0.024629628230475747,-0.020456622447355226,-0.020456622447355226,-0.020456622447355226,-0.13197439911623365,-0.13197439911623365,-0.13197439911623365,0.0,0.0,0.0,255287.67791144506
2017-05-01,264660.28704856755,181342.07460766804,366773.7556066952,264660.28704856755,264660.28704856755,-0.013238807424658388,-0.013238807424658388,-0.013238807424658388,0.11103497500564183,0.11103497500564183,0.11103497500564183,0.15120560214822437,0.15120560214822437,0.15120560214822437,0.02069197420316302,0.02069197420316302,0.02069197420316302,-0.026931819717924157,-0.026931819717924157,-0.026931819717924157,-0.09034300080247881,-0.09034300080247881,-0.09034300080247881,0.0,0.0,0.0,270136.63088077825
2017-06-01,267684.0226814768,175461.50473533486,357644.1473317623,267684.0226814768,267684.0226814768,-0.02114665792202497,-0.02114665792202497,-0.02114665792202497,0.032270373623475054,0.032270373623475054,0.032270373623475054,0.16211446919279168,0.16211446919279168,0.16211446919279168,-0.0069661852664189144,-0.0069661852664189144,-0.0069661852664189144,-0.10869743764729166,-0.10869743764729166,-0.10869743764729166,-0.03923655888989397,-0.03923655888989397,-0.03923655888989397,0.0,0.0,0.0,265819.28618661733
2017-07-01,270610.21845526,174361.28660405916,358513.17481356324,270610.21845526,270610.21845526,-0.022688470163918697,-0.022688470163918697,-0.022688470163918697,-0.01780162468717095,-0.01780162468717095,-0.01780162468717095,0.04671176124020285,0.04671176124020285,0.04671176124020285,-0.0190994818773419,-0.0190994818773419,-0.0190994818773419,-0.0418249157634551,-0.0418249157634551,-0.0418249157634551,-0.001297857190170948,-0.001297857190170948,-0.001297857190170948,0.0,0.0,0.0,265441.70349205023
