"level","fips","location","population","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08"
"city","3502000","Albuquerque, NM",559202,,,,,0.0632470893049647,0.0609968813804524,0.0584812127308942,0.0575423130502422,0.0569165606198775,0.0574169385173097,0.0582136098343062,0.0590950858302662,0.0606164970825085,0.0644693026110749,0.0675800723609876,0.0683214931522401,0.0675108556337734,0.0640767122520489,0.0595874289435153,0.0571984281161159,0.0554136182519289,0.0533426820890273,0.05305782077878,0.0534928361883172,0.0549081565041705,0.0573224862519808,0.0585855217946926,0.0579472609850944,0.0565476001034689,0.0547768461787975,0.0542786019801906,0.0532268758346856,0.0516681271251648,0.051073013685015,0.051137471717123,0.0527248432776855,0.0556513015967427,0.0574062471606992,0.057669791549923,0.0573559904840947,0.0544909213984815,0.0503053564445822,0.0458746068607951,0.0411561182067003,0.0385729069755087,0.037412437297345,0.0374758609350292,0.0385758067693631,0.0400496603165246,0.0427079450177049,0.0445455102031805,0.0442877050270428,0.0416385002459895,0.0378630459311916,0.034743531014797,0.0333788965235914,0.0344400860778656,0.0372673706236182,0.0405196492114863,0.0435933397181091,0.0464588301451464,0.0478364733068565,0.0478245500080791,0.0471366223919895,0.0458797861867087,0.0446624887916064,0.0445028292910655,0.0452992126674647
"city","5101000","Alexandria, VA",156505,0.0531431222019826,0.0539163021028973,0.0533699052912382,0.0534733649179314,0.0542311392106532,0.0549415545354479,0.0568980255044136,0.0578522780322705,0.0579240075988001,0.0567839096077285,0.0552153470672404,0.0553491229901777,0.0557610257201936,0.0574910430079515,0.0593630727719302,0.0597885305864155,0.059871771802327,0.0593324209028606,0.0582870804728535,0.0568055239987569,0.0554664058951047,0.0535124789811194,0.0509009657695842,0.0494857626642432,0.0483734364663044,0.0494726449398753,0.0515668736314865,0.0540824050251343,0.0571210365501385,0.0591563584525398,0.0602437593509661,0.0604190074045251,0.0593839734060044,0.0572954308540328,0.0564191967101175,0.0554322068472903,0.054824810222587,0.0550717149790746,0.0549797947241929,0.0560285164344411,0.0593638053266007,0.0640026261774874,0.0683103727157329,0.0721552097341958,0.0742955791057603,0.0753346477216874,0.0761008331260678,0.0761750661136402,0.075384643950142,0.0738997860908491,0.0729389872433706,0.0717919896667833,0.0702333203113068,0.0682183683515383,0.0653226884041593,0.0608849591264438,0.0556078845440478,0.0505430020007684,0.0463948566202167,0.0443076129521646,0.045115903220096,0.0472165255973349,0.050924134245161,0.0560822916820887,0.0603557067093571,0.0645629339977961,0.0666819380238041,0.067981449255877
"city","1301696","Alpharetta, GA",64672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0737005742666345,0.0726163822412442,0.0720026300296491,0.0713732033735915,0.0723995915196179,0.0752848025221741,0.0799368412212526,0.0846524464716172,0.0884460776301559,0.0919356008147917,0.0905398933028983,0.0865436548276222,0.0810004100118828,0.0737736046004665,0.0684358573120497,0.0644762936492986,0.0608017682478306,0.0572146679035881,0.0512437558856825,0.0456037487130753,0.0397016543961837,0.0335625122700266,0.0303100017448286,0.0291591542445905,0.0310619849917244,0.0340685006982401,0.0389622374892021,0.0433138134821141,0.0480534011107958,0.053381830811528,0.0577161345203542,0.0605469237795561,0.0622881432313466,0.0637379397077557,0.0642209773972938
"city","0602000","Anaheim, CA",349668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0644162301091483,0.0658501240106433,0.065399323873455,0.0623475949228587,0.0567558930863485,0.0536678210018121,0.0527825266607579,0.0553521680139119,0.058911769711882,0.0602454606477739,0.0601577686090601,0.0573049389724357,0.0545053885696466,0.0516181835715764,0.0493560519831747,0.0489366393043206,0.0476885068215876,0.048158218127195,0.048522778376422,0.0466304105163459,0.0431978054332833,0.0386407621173908,0.0331155698062837,0.0272782436394199,0.024133232194475,0.0217394265256638,0.025684323837675,0.0306552764519151,0.0360123369771055,0.0418224568949147,0.041511244827539,0.0398027656856584,0.0381389367544714,0.0366651928756669,0.0354475943216722,0.0356587149917207
"city","4804000","Arlington, TX",392462,0.0550240663988667,0.0573826119251942,0.058039161236296,0.0600111263512851,0.0606673414404751,0.0615122096064105,0.0620820335492994,0.0614676507939221,0.0626482794626143,0.062364077594652,0.0618600757012615,0.0617118653189961,0.0598837168692397,0.0593455707987028,0.0588791864352432,0.0574639324509799,0.058408365599414,0.0603280207087981,0.0628288925935701,0.0648808331643767,0.0667518601208112,0.0676299403275194,0.0692985682271132,0.0739147985184264,0.0794293320991616,0.0828268447171122,0.0828291511521083,0.0800396253345803,0.075809856777364,0.0730140342742973,0.0722218540343349,0.0710853908542711,0.0711552725021092,0.0710573679098812,0.0710395096739474,0.0713870767701873,0.0704259607922534,0.0697323145115657,0.0680851640378178,0.0656325925104623,0.0626914724791581,0.0588857652519448,0.0547108389456546,0.0518846941415414,0.0502529505208685,0.0498479035020361,0.0515626295377157,0.0538182551394844,0.0550249255002954,0.05469975599922,0.0555040649052321,0.0550412308888037,0.0557528158556971,0.0557861385839679,0.0532520586565445,0.0501324894363283,0.0460439089418048,0.0436760502705556,0.0423394125218521,0.0425808237680262,0.04365190791854,0.0454411844503487,0.047221135486933,0.0491418906878966,0.0507134400252711,0.0516046718950493,0.0520253271870107,0.0515841284574292
"city","5103000","Arlington, VA",231803,0.056887041092307,0.0583410629033299,0.0602059050553113,0.061134403981985,0.0640868254362609,0.0672038871169451,0.068208894322795,0.0683323730246922,0.0672790960320914,0.0656414695563825,0.0644948070017034,0.0635987226048936,0.0618920008095046,0.059319658932472,0.0576359050727015,0.0572629955415565,0.0578232666194247,0.0580769065040369,0.0577439499757817,0.0567820480102546,0.0561976740362604,0.0556836415016159,0.0555080076223473,0.0560550458806191,0.0561017024130705,0.0568864883857939,0.0574267383088409,0.0579873152328451,0.0584280415423728,0.0582499616440113,0.0585060424809487,0.0578536779580104,0.057442272076165,0.057466473737803,0.0584652964486629,0.0590509499062885,0.060095008291968,0.0608312020252896,0.0610194162072051,0.0641141672535476,0.0681371803329873,0.0759799630372107,0.0838730134020379,0.091452470131928,0.0995760060331265,0.104912078035265,0.108685785033081,0.108244952617991,0.103033170278104,0.0962643812475115,0.0906491356540315,0.085072859087343,0.0806671034028495,0.075234204927036,0.06747661506109,0.0604415364833922,0.0556653980328869,0.0542847278478143,0.0552589352757733,0.0591806686238001,0.0621535923190344,0.0642636274505404,0.0658475914436931,0.065454636322969,0.0638386420813184,0.0601486230245833,0.0570682342111295,0.0551302360579416
"city","1304000","Atlanta, GA",479655,0.0900770865772087,0.0874057184072801,0.0873188998485926,0.0867343996842652,0.0850396154920602,0.0840288442470085,0.0814583724570721,0.0799993186050088,0.0789816054270173,0.0788019465053007,0.0801128859048851,0.0805620435281887,0.0813259125524653,0.0826076996989114,0.0834647704706693,0.0850126255094634,0.0850753569342275,0.0835846703334791,0.0809306261054133,0.0768242379492809,0.07389809619124,0.0720745292336953,0.0720842571630378,0.0737638572014351,0.075513913939894,0.0776414830758876,0.0793855694826867,0.0807505301339348,0.0818496575976283,0.0814108349660262,0.0797667672367593,0.0774802076079028,0.0751871620450853,0.0739144522908977,0.0740391108665316,0.0743717085125729,0.0746482138399532,0.0753099643836235,0.0768147427522653,0.0808648435489862,0.085786943160883,0.0898352184609801,0.0922127940677654,0.0918000920305916,0.0898700679799809,0.0871672200484539,0.0840549480768856,0.0813611314425775,0.077758836054403,0.0746412693243403,0.0717911004424177,0.0677800694151317,0.0644256386583206,0.0594672133890469,0.0541383813899947,0.0492853662448019,0.045774305996903,0.0449201418053618,0.0455863143494478,0.0474601937855916,0.049420826299849,0.0514655561607045,0.0535559102052097,0.0552487887757588,0.0566532520574905,0.0570194275982682,0.0564296065599461,0.0561776021973059
"city","1304204","Augusta, GA",196807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0661554825861527,0.0640138988018117,0.0635455712794927,0.0684803046681478,0.0710719674607623,0.071835104106025,0.0713764145217841,0.0699536121175767,0.0702923846424054,0.0705104668866375,0.0745154254469741,0.0769239750951002,0.0772746667491861,0.0751210997574597,0.0687813420030955,0.0625926392429867,0.060635633360578,0.0626866927738994,0.0672833692567958,0.0730898950678913,0.0751940376088087,0.0758827254578272,0.0819390640651096,0.0848762985913491,0.0861100649518772,0.0845106595759622,0.0735580147234239,0.063381487588827,0.0563408497500829,0.0588179320962887,0.0665913723936826,0.0780291425744753,0.0884115559793115,0.0880614573611253,0.0858305689682382,0.0817342652649714,0.0791150333376823,0.0799713090319957,0.0792876648700988
"city","0804000","Aurora, CO",363550,0.0792925098468092,0.0714481775703977,0.0661090489982522,0.0634693167555312,0.0570949236216492,0.054485334539343,0.0532906039392122,0.0545332136915778,0.0562768379596276,0.0554382039477925,0.055604486399813,0.0537409894452326,0.0516622323179548,0.0538593913036947,0.0566162138438597,0.0591303637075305,0.0612274362011919,0.063535603850738,0.0634664532972776,0.0620611825969454,0.0609826615589689,0.058617050189523,0.0573149746991304,0.0576397878227332,0.059384356622376,0.0608811790471897,0.0621090974479075,0.0627455023982676,0.0624875991466545,0.0612017823461423,0.0603824226495885,0.0594450909870038,0.0587338026178254,0.0582276726041201,0.0572616617462018,0.0596462026174094,0.0623763229192613,0.0656900645603253,0.0699106019915839,0.0709516278558015,0.0706346994411731,0.0693447481768549,0.0679608480851257,0.0661145342842838,0.0640907389060246,0.0621965694609134,0.0597600235151356,0.0583490500585511,0.0573198203028552,0.0587738434311151,0.0591840503727676,0.0573819980635943,0.055002018442557,0.0499792374492264,0.0458325454169263,0.0434992539775715,0.0422872487943679,0.042038215359338,0.0425914999922551,0.0436606106841057,0.045275587637216,0.0469997261980056,0.0473073285344951,0.0480379824211623,0.049633897912111,0.0518842564946791,0.0543760803189755,0.0562532764770369
"city","4805000","Austin, TX",935755,0.0992585019645223,0.0966913410680885,0.0953307957368919,0.0940871887428351,0.0917319212570238,0.0897516217404568,0.0880233542454899,0.0878617285627577,0.0872866506607448,0.0856183300002531,0.0838200775067442,0.0815810927960914,0.080531520315641,0.0800237478197165,0.0799021289873978,0.0792578663903517,0.0773867856116821,0.0757719657789208,0.0729347905089061,0.0700834922604802,0.0679026797717936,0.0670008311877904,0.0676327393665496,0.0686921658691151,0.0694189862939897,0.0700201714387119,0.0704775629891266,0.0700970038758596,0.0705279774829709,0.0704003022629319,0.0690811585148186,0.0678466791287053,0.0665934383151804,0.0659101739096374,0.067109028489852,0.068810375029869,0.0702219119603995,0.0725221021811484,0.0744251268249039,0.0777225816528918,0.0817723025962703,0.0847217732384188,0.0863259728489131,0.0867788335500716,0.0860000684112047,0.0852092800654086,0.0850613631441264,0.0839950603334411,0.0823182497424432,0.0800377293924698,0.0758804924392706,0.0705278848525082,0.064318753547475,0.0569672825930845,0.0507501304791035,0.0458326485748363,0.0433127505492303,0.0432501235450463,0.044972929410867,0.0474122957228921,0.0497018767485974,0.0523882150343628,0.054777203256415,0.057375743867273,0.0592640175773809,0.0605012668757913,0.0618878647965544,0.0632523281983076
