county_name,county_name_state,state
Gray,gray_tx,tx
Berrien,berrien_ga,ga
Erie,erie_ny,ny
Polk,polk_ne,ne
Madison,madison_id,id
La salle,la salle_tx,tx
Bryan,bryan_ga,ga
Essex,essex_nj,nj
Ashley,ashley_ar,ar
Rock,rock_ne,ne
Kane,kane_ut,ut
Allegheny,allegheny_pa,pa
Wibaux,wibaux_mt,mt
Santa barbara,santa barbara_ca,ca
Boise,boise_id,id
Payne,payne_ok,ok
Coffee,coffee_tn,tn
Cherokee,cherokee_tx,tx
Minnehaha,minnehaha_sd,sd
Rice,rice_ks,ks
Crittenden,crittenden_ar,ar
Wilcox,wilcox_ga,ga
Crawford,crawford_pa,pa
Frankl,frankl_in,in
Blackford,blackford_in,in
Passaic,passaic_nj,nj
Oldham,oldham_ky,ky
Henry,henry_va,va
Monroe,monroe_mi,mi
San patricio,san patricio_tx,tx
Johnson,johnson_ks,ks
Cherry,cherry_ne,ne
Marion,marion_il,il
Onslow,onslow_nc,nc
Mono,mono_ca,ca
Vanderburgh,vanderburgh_in,in
Johnson,johnson_il,il
Kay,kay_ok,ok
Loudon,loudon_tn,tn
Johnson,johnson_ia,ia
Butts,butts_ga,ga
Mesa,mesa_co,co
Hockley,hockley_tx,tx
Lincoln,lincoln_ok,ok
Autauga,autauga_al,al
Jefferson,jefferson_ne,ne
Green,green_wi,wi
Hampton,hampton_sc,sc
Hinsdale,hinsdale_co,co
Allega,allega_ny,ny
Carson,carson_tx,tx
Delaware,delaware_in,in
Jefferson,jefferson_ga,ga
Jefferson,jefferson_ky,ky
Pierce,pierce_ga,ga
Montcalm,montcalm_mi,mi
York,york_pa,pa
Marion,marion_mo,mo
Armstrong,armstrong_pa,pa
Madison,madison_tx,tx
Kenton,kenton_ky,ky
Chatham,chatham_ga,ga
Calhoun,calhoun_ia,ia
Lewis,lewis_wv,wv
Blaine,blaine_ok,ok
Croll,croll_ar,ar
Allegan,allegan_mi,mi
Juniata,juniata_pa,pa
Coconino,coconino_az,az
Victoria,victoria_tx,tx
Jackson,jackson_mo,mo
Lancaster,lancaster_va,va
Trumbull,trumbull_oh,oh
Mahoning,mahoning_oh,oh
Clay,clay_ky,ky
Montmorency,montmorency_mi,mi
Lamoille,lamoille_vt,vt
Harrison,harrison_mo,mo
Houston,houston_tn,tn
Washington,washington_tx,tx
Vigo,vigo_in,in
Marengo,marengo_al,al
Henry,henry_ga,ga
Lawrence,lawrence_ar,ar
Okeechobee,okeechobee_fl,fl
Randall,randall_tx,tx
Knox,knox_me,me
Beaverhead,beaverhead_mt,mt
Roanoke,roanoke_va,va
Scott,scott_va,va
Tipton,tipton_in,in
Bucks,bucks_pa,pa
Jim hogg,jim hogg_tx,tx
Pershing,pershing_nv,nv
Lawrence,lawrence_pa,pa
Union,union_or,or
Washington,washington_ne,ne
Porter,porter_in,in
Little river,little river_ar,ar
Washington,washington_ks,ks
Florence,florence_sc,sc
Waushara,waushara_wi,wi
Ellis,ellis_ks,ks
Stonewall,stonewall_tx,tx
Henry,henry_mo,mo
York,york_va,va
Jeff davis,jeff davis_tx,tx
Scott,scott_in,in
King george,king george_va,va
Clark,clark_il,il
Mchenry,mchenry_il,il
Stewart,stewart_tn,tn
Hooker,hooker_ne,ne
Mecosta,mecosta_mi,mi
Shelby,shelby_ky,ky
Pierce,pierce_wa,wa
Santa cruz,santa cruz_ca,ca
Knox,knox_ky,ky
Green lake,green lake_wi,wi
Pike,pike_il,il
Callahan,callahan_tx,tx
Reagan,reagan_tx,tx
Foster,foster_nd,nd
Roseau,roseau_mn,mn
Bowie,bowie_tx,tx
Seward,seward_ne,ne
Sioux,sioux_ne,ne
Transylvania,transylvania_nc,nc
Clark,clark_sd,sd
Pratt,pratt_ks,ks
Alleghany,alleghany_nc,nc
Decatur,decatur_ga,ga
Butler,butler_ks,ks
Powell,powell_mt,mt
Randolph,randolph_al,al
Tuscarawas,tuscarawas_oh,oh
Northumberland,northumberland_va,va
Archer,archer_tx,tx
Giles,giles_va,va
Logan,logan_co,co
Hancock,hancock_ia,ia
Mccone,mccone_mt,mt
Wilkes,wilkes_ga,ga
Meade,meade_ky,ky
Hart,hart_ky,ky
Park,park_mt,mt
Hyde,hyde_nc,nc
Walton,walton_fl,fl
Dallas,dallas_ia,ia
Whiteside,whiteside_il,il
Tate,tate_ms,ms
Menard,menard_tx,tx
Hitchcock,hitchcock_ne,ne
Crawford,crawford_mo,mo
Richmond,richmond_ga,ga
Magoffin,magoffin_ky,ky
Greenville,greenville_sc,sc
Howard,howard_ia,ia
Guthrie,guthrie_ia,ia
Morn,morn_ga,ga
Effingham,effingham_il,il
Howard,howard_mo,mo
Taos,taos_nm,nm
Chambers,chambers_al,al
Wasatch,wasatch_ut,ut
Fayette,fayette_tn,tn
Iowa,iowa_ia,ia
Maverick,maverick_tx,tx
Washington,washington_ok,ok
Burleson,burleson_tx,tx
Beckham,beckham_ok,ok
Beadle,beadle_sd,sd
Kewaunee,kewaunee_wi,wi
Fallon,fallon_mt,mt
Pennington,pennington_mn,mn
Lee,lee_ky,ky
Grayson,grayson_ky,ky
Clarke,clarke_al,al
Cabell,cabell_wv,wv
Lee,lee_tx,tx
Jackson,jackson_oh,oh
Sutter,sutter_ca,ca
Hunterdon,hunterdon_nj,nj
Garfield,garfield_ok,ok
Mercer,mercer_il,il
Cook,cook_mn,mn
Hudspeth,hudspeth_tx,tx
Jasper,jasper_tx,tx
Flathead,flathead_mt,mt
Barbour,barbour_wv,wv
Adams,adams_oh,oh
Niagara,niagara_ny,ny
Meade,meade_sd,sd
Brown,brown_sd,sd
Dakota,dakota_mn,mn
Sublette,sublette_wy,wy
Union,union_in,in
Wicomico,wicomico_md,md
Beaufort,beaufort_nc,nc
Mitchell,mitchell_nc,nc
Johnston,johnston_nc,nc
Ohio,ohio_ky,ky
Huerfano,huerfano_co,co
Kiowa,kiowa_ok,ok
Woodford,woodford_ky,ky
San juan,san juan_co,co
Russell,russell_al,al
Madison,madison_al,al
Hampshire,hampshire_ma,ma
Clay,clay_mo,mo
Brown,brown_il,il
Sutton,sutton_tx,tx
Appomattox,appomattox_va,va
Pike,pike_oh,oh
Tishomingo,tishomingo_ms,ms
Stillwater,stillwater_mt,mt
Brown,brown_mn,mn
Hempstead,hempstead_ar,ar
Hancock,hancock_ga,ga
Chesterfield,chesterfield_va,va
Plymouth,plymouth_ma,ma
Seneca,seneca_ny,ny
Carroll,carroll_md,md
Osage,osage_ks,ks
Mercer,mercer_wv,wv
Sanpete,sanpete_ut,ut
Madison,madison_mo,mo
Refugio,refugio_tx,tx
Lumpkin,lumpkin_ga,ga
Carbon,carbon_wy,wy
Lake,lake_or,or
Pasco,pasco_fl,fl
Broadwater,broadwater_mt,mt
Marlboro,marlboro_sc,sc
Lee,lee_sc,sc
Lawrence,lawrence_sd,sd
Logan,logan_wv,wv
Hawkins,hawkins_tn,tn
